"Date","Price","Open","High","Low","Change %"
"Mar 19, 2020","5.0957","5.1098","5.2140","5.0682","-0.21%"
"Mar 18, 2020","5.1064","5.0103","5.2550","5.0073","1.96%"
"Mar 17, 2020","5.0084","5.0357","5.0873","4.9594","0.16%"
"Mar 16, 2020","5.0002","4.8600","5.0690","4.8600","2.93%"
"Mar 13, 2020","4.8580","4.7095","4.8810","4.6424","1.40%"
"Mar 12, 2020","4.7910","4.8149","5.0284","4.7501","-0.47%"
"Mar 11, 2020","4.8136","4.6400","4.8284","4.6400","3.69%"
"Mar 10, 2020","4.6425","4.6742","4.6873","4.6345","-1.71%"
"Mar 09, 2020","4.7231","4.7600","4.7943","4.7052","2.08%"
"Mar 06, 2020","4.6269","4.6358","4.6720","4.6108","0.43%"
"Mar 05, 2020","4.6073","4.5993","4.6672","4.5844","0.49%"
"Mar 04, 2020","4.5847","4.5140","4.5881","4.5026","1.56%"
"Mar 03, 2020","4.5144","4.4744","4.5184","4.4521","0.90%"
"Mar 02, 2020","4.4740","4.4949","4.5068","4.4690","0.02%"
"Feb 28, 2020","4.4733","4.5070","4.5143","4.4642","-0.29%"
"Feb 27, 2020","4.4861","4.4497","4.5021","4.4471","0.81%"
"Feb 26, 2020","4.4502","4.3884","4.4553","4.3880","1.42%"
"Feb 25, 2020","4.3878","4.3883","4.3888","4.3879","0.00%"
"Feb 24, 2020","4.3878","4.3884","4.3884","4.3883","-0.04%"
"Feb 21, 2020","4.3895","4.3939","4.4068","4.3712","-0.09%"
"Feb 20, 2020","4.3933","4.3653","4.3985","4.3580","0.65%"
"Feb 19, 2020","4.3649","4.3564","4.3779","4.3562","0.21%"
"Feb 18, 2020","4.3557","4.3280","4.3645","4.3252","0.66%"
"Feb 17, 2020","4.3270","4.3003","4.3320","4.2969","0.69%"
"Feb 14, 2020","4.2974","4.3504","4.3504","4.2906","-1.20%"
"Feb 13, 2020","4.3498","4.3552","4.3835","4.3081","-0.11%"
"Feb 12, 2020","4.3548","4.3319","4.3558","4.3232","0.54%"
"Feb 11, 2020","4.3316","4.3252","4.3411","4.2969","0.16%"
"Feb 10, 2020","4.3248","4.3210","4.3293","4.3040","0.10%"
"Feb 07, 2020","4.3203","4.2825","4.3240","4.2793","0.89%"
"Feb 06, 2020","4.2822","4.2357","4.2861","4.2086","1.11%"
"Feb 05, 2020","4.2353","4.2552","4.2614","4.2263","-0.45%"
"Feb 04, 2020","4.2545","4.2480","4.2625","4.2232","0.16%"
"Feb 03, 2020","4.2476","4.2816","4.2828","4.2294","-0.80%"
"Jan 31, 2020","4.2820","4.2438","4.2905","4.2438","0.92%"
"Jan 30, 2020","4.2430","4.2304","4.2726","4.2303","0.30%"
"Jan 29, 2020","4.2303","4.1948","4.2326","4.1814","0.86%"
"Jan 28, 2020","4.1943","4.2112","4.2168","4.1867","-0.31%"
"Jan 27, 2020","4.2074","4.1842","4.2318","4.1797","0.62%"
"Jan 24, 2020","4.1814","4.1707","4.1918","4.1649","0.27%"
"Jan 23, 2020","4.1703","4.1832","4.1906","4.1554","-0.29%"
"Jan 22, 2020","4.1826","4.2020","4.2057","4.1724","-0.71%"
"Jan 21, 2020","4.2123","4.1894","4.2178","4.1830","0.54%"
"Jan 20, 2020","4.1898","4.1658","4.1922","4.1628","0.68%"
"Jan 17, 2020","4.1616","4.1851","4.1936","4.1588","-0.55%"
"Jan 16, 2020","4.1847","4.1756","4.2011","4.1593","0.23%"
"Jan 15, 2020","4.1753","4.1322","4.1863","4.1310","1.03%"
"Jan 14, 2020","4.1326","4.1474","4.1618","4.1214","-0.34%"
"Jan 13, 2020","4.1466","4.0907","4.1469","4.0885","1.24%"
"Jan 10, 2020","4.0960","4.0936","4.1051","4.0615","0.09%"
"Jan 09, 2020","4.0925","4.0645","4.0935","4.0574","0.68%"
"Jan 08, 2020","4.0647","4.0676","4.0788","4.0399","-0.07%"
"Jan 07, 2020","4.0676","4.0620","4.0928","4.0549","0.15%"
"Jan 06, 2020","4.0616","4.0567","4.0746","4.0463","-0.13%"
"Jan 03, 2020","4.0669","4.0251","4.0720","4.0251","1.02%"
"Jan 02, 2020","4.0260","4.0197","4.0413","4.0037","0.16%"
"Jan 01, 2020","4.0195","4.0195","4.0195","4.0195","0.01%"
"Dec 31, 2019","4.0190","4.0197","4.0198","4.0194","-0.00%"
"Dec 30, 2019","4.0191","4.0490","4.0490","4.0083","-0.66%"
"Dec 27, 2019","4.0456","4.0566","4.0620","4.0347","-0.25%"
"Dec 26, 2019","4.0557","4.0825","4.0825","4.0457","-0.69%"
"Dec 25, 2019","4.0838","4.0838","4.0838","4.0838","0.01%"
"Dec 24, 2019","4.0833","4.0838","4.0838","4.0838","0.00%"
"Dec 23, 2019","4.0833","4.1020","4.1020","4.0574","-0.46%"
"Dec 20, 2019","4.1022","4.0704","4.1026","4.0580","0.81%"
"Dec 19, 2019","4.0694","4.0634","4.0706","4.0508","0.16%"
"Dec 18, 2019","4.0630","4.0684","4.0767","4.0462","-0.21%"
"Dec 17, 2019","4.0716","4.0631","4.0785","4.0506","0.22%"
"Dec 16, 2019","4.0628","4.1104","4.1104","4.0547","-1.10%"
"Dec 13, 2019","4.1080","4.0920","4.1185","4.0752","0.43%"
"Dec 12, 2019","4.0905","4.1241","4.1316","4.0817","-0.81%"
"Dec 11, 2019","4.1238","4.1463","4.1467","4.1076","-0.55%"
"Dec 10, 2019","4.1467","4.1427","4.1516","4.1326","0.11%"
"Dec 09, 2019","4.1422","4.1415","4.1613","4.1239","0.03%"
"Dec 06, 2019","4.1411","4.1859","4.1951","4.1340","-1.06%"
"Dec 05, 2019","4.1856","4.2077","4.2238","4.1765","-0.53%"
"Dec 04, 2019","4.2077","4.2054","4.2109","4.1827","0.03%"
"Dec 03, 2019","4.2063","4.2236","4.2245","4.1849","-0.40%"
"Dec 02, 2019","4.2230","4.2362","4.2541","4.2078","-0.32%"
"Nov 29, 2019","4.2364","4.1894","4.2460","4.1830","1.11%"
"Nov 28, 2019","4.1900","4.2641","4.2659","4.1901","-1.73%"
"Nov 27, 2019","4.2636","4.2295","4.2713","4.2265","0.72%"
"Nov 26, 2019","4.2330","4.2269","4.2778","4.2269","0.15%"
"Nov 25, 2019","4.2266","4.1989","4.2312","4.1874","0.72%"
"Nov 22, 2019","4.1962","4.1940","4.2013","4.1725","0.08%"
"Nov 21, 2019","4.1930","4.1950","4.2244","4.1830","-0.06%"
"Nov 20, 2019","4.1955","4.1933","4.1980","4.1933","0.03%"
"Nov 19, 2019","4.1942","4.2055","4.2197","4.1859","-0.56%"
"Nov 18, 2019","4.2177","4.1785","4.2196","4.1697","0.52%"
"Nov 15, 2019","4.1957","4.1958","4.1962","4.1958","0.02%"
"Nov 14, 2019","4.1949","4.1698","4.1993","4.1627","0.59%"
"Nov 13, 2019","4.1702","4.1693","4.1904","4.1634","0.06%"
"Nov 12, 2019","4.1675","4.1529","4.1878","4.1427","0.38%"
"Nov 11, 2019","4.1516","4.1679","4.1716","4.1355","-0.28%"
"Nov 08, 2019","4.1633","4.1146","4.1709","4.1081","1.53%"
"Nov 07, 2019","4.1004","4.0840","4.1034","4.0420","0.42%"
"Nov 06, 2019","4.0834","3.9935","4.0904","3.9753","2.25%"
"Nov 05, 2019","3.9935","4.0123","4.0243","3.9831","-0.54%"
"Nov 04, 2019","4.0152","3.9894","4.0199","3.9750","0.64%"
"Nov 01, 2019","3.9897","4.0173","4.0211","3.9692","-0.69%"
"Oct 31, 2019","4.0174","3.9925","4.0378","3.9637","0.70%"
"Oct 30, 2019","3.9895","3.9990","4.0324","3.9815","-0.21%"
"Oct 29, 2019","3.9980","3.9911","4.0052","3.9835","0.20%"
"Oct 28, 2019","3.9902","4.0028","4.0098","3.9724","-0.32%"
"Oct 25, 2019","4.0029","4.0420","4.0420","3.9914","-0.92%"
"Oct 24, 2019","4.0401","4.0368","4.0458","3.9985","0.16%"
"Oct 23, 2019","4.0337","4.0806","4.0925","4.0281","-1.18%"
"Oct 22, 2019","4.0817","4.1294","4.1320","4.0609","-1.13%"
"Oct 21, 2019","4.1285","4.1118","4.1523","4.1112","0.44%"
"Oct 18, 2019","4.1105","4.1637","4.1657","4.1097","-1.26%"
"Oct 17, 2019","4.1630","4.1509","4.1816","4.1263","0.30%"
"Oct 16, 2019","4.1505","4.1803","4.1873","4.1469","-0.72%"
"Oct 15, 2019","4.1805","4.1262","4.1817","4.1213","1.33%"
"Oct 14, 2019","4.1255","4.1064","4.1382","4.1064","0.39%"
"Oct 11, 2019","4.1094","4.1080","4.1266","4.0805","0.01%"
"Oct 10, 2019","4.1089","4.1096","4.1378","4.0894","0.00%"
"Oct 09, 2019","4.1089","4.0953","4.1112","4.0697","0.36%"
"Oct 08, 2019","4.0942","4.1071","4.1132","4.0734","-0.31%"
"Oct 07, 2019","4.1068","4.0561","4.1102","4.0560","1.27%"
"Oct 04, 2019","4.0551","4.0842","4.0863","4.0498","-0.69%"
"Oct 03, 2019","4.0832","4.1290","4.1304","4.0742","-1.10%"
"Oct 02, 2019","4.1287","4.1575","4.1824","4.1272","-0.70%"
"Oct 01, 2019","4.1578","4.1564","4.1858","4.1522","0.06%"
"Sep 30, 2019","4.1551","4.1625","4.1722","4.1415","-0.12%"
"Sep 27, 2019","4.1599","4.1705","4.1712","4.1445","-0.26%"
"Sep 26, 2019","4.1707","4.1483","4.1733","4.1214","0.55%"
"Sep 25, 2019","4.1477","4.1638","4.1948","4.1445","-0.41%"
"Sep 24, 2019","4.1647","4.1642","4.1844","4.1536","0.04%"
"Sep 23, 2019","4.1629","4.1500","4.1847","4.1444","0.38%"
"Sep 20, 2019","4.1472","4.1673","4.1839","4.1459","-0.48%"
"Sep 19, 2019","4.1672","4.1108","4.1690","4.1073","1.38%"
"Sep 18, 2019","4.1106","4.0775","4.1146","4.0728","0.82%"
"Sep 17, 2019","4.0773","4.0950","4.1174","4.0718","-0.07%"
"Sep 16, 2019","4.0801","4.0858","4.1067","4.0750","-0.10%"
"Sep 13, 2019","4.0840","4.0621","4.0957","4.0424","0.59%"
"Sep 12, 2019","4.0602","4.0679","4.0710","4.0265","-0.17%"
"Sep 11, 2019","4.0671","4.0807","4.0926","4.0511","-0.31%"
"Sep 10, 2019","4.0798","4.0956","4.1297","4.0789","-0.35%"
"Sep 09, 2019","4.0943","4.0630","4.1044","4.0477","0.83%"
"Sep 06, 2019","4.0607","4.1086","4.1086","4.0534","-1.15%"
"Sep 05, 2019","4.1081","4.0949","4.1152","4.0695","0.32%"
"Sep 04, 2019","4.0948","4.1674","4.1678","4.0889","-1.75%"
