"Date","Price","Open","High","Low","Change %"
"Nov 12, 2019","0.9082","0.9064","0.9089","0.9058","0.21%"
"Nov 13, 2019","0.9084","0.9083","0.9096","0.9074","0.02%"
"Nov 14, 2019","0.9070","0.9086","0.9100","0.9068","-0.15%"
"Nov 15, 2019","0.9046","0.9072","0.9079","0.9043","-0.26%"
"Nov 18, 2019","0.9030","0.9048","0.9051","0.9017","-0.18%"
"Nov 19, 2019","0.9025","0.9032","0.9040","0.9021","-0.06%"
"Nov 20, 2019","0.9030","0.9027","0.9047","0.9023","0.06%"
"Nov 21, 2019","0.9042","0.9031","0.9049","0.9011","0.13%"
"Nov 22, 2019","0.9069","0.9043","0.9079","0.9020","0.30%"
"Nov 25, 2019","0.9079","0.9071","0.9088","0.9064","0.11%"
"Nov 26, 2019","0.9073","0.9079","0.9086","0.9069","-0.07%"
"Nov 27, 2019","0.9091","0.9075","0.9098","0.9070","0.20%"
"Nov 28, 2019","0.9082","0.9092","0.9092","0.9075","-0.10%"
"Nov 29, 2019","0.9075","0.9084","0.9107","0.9067","-0.08%"
"Dec 02, 2019","0.9024","0.9079","0.9089","0.9017","-0.56%"
"Dec 03, 2019","0.9021","0.9026","0.9038","0.9014","-0.03%"
"Dec 04, 2019","0.9025","0.9024","0.9037","0.8996","0.04%"
"Dec 05, 2019","0.9005","0.9026","0.9028","0.9002","-0.22%"
"Dec 06, 2019","0.9041","0.9007","0.9058","0.9000","0.40%"
"Dec 09, 2019","0.9037","0.9046","0.9048","0.9026","-0.04%"
"Dec 10, 2019","0.9014","0.9039","0.9040","0.9010","-0.25%"
"Dec 11, 2019","0.8983","0.9015","0.9034","0.8972","-0.34%"
"Dec 12, 2019","0.8983","0.8985","0.9007","0.8964","0.00%"
"Dec 13, 2019","0.8990","0.8985","0.9000","0.8928","0.08%"
"Dec 16, 2019","0.8972","0.8991","0.8991","0.8961","-0.20%"
"Dec 17, 2019","0.8968","0.8974","0.8986","0.8948","-0.04%"
"Dec 18, 2019","0.8997","0.8968","0.9001","0.8964","0.32%"
"Dec 19, 2019","0.8990","0.8999","0.9003","0.8972","-0.08%"
"Dec 20, 2019","0.9025","0.8992","0.9037","0.8988","0.39%"
"Dec 23, 2019","0.9017","0.9025","0.9034","0.9012","-0.09%"
"Dec 24, 2019","0.9018","0.9018","0.9034","0.9013","0.01%"
"Dec 25, 2019","0.9015","0.9018","0.9031","0.9003","-0.03%"
"Dec 26, 2019","0.9009","0.9017","0.9024","0.9001","-0.07%"
"Dec 27, 2019","0.8946","0.9012","0.9013","0.8938","-0.70%"
"Dec 30, 2019","0.8928","0.8949","0.8953","0.8910","-0.20%"
"Dec 31, 2019","0.8917","0.8931","0.8931","0.8897","-0.12%"
"Jan 01, 2020","0.8917","0.8918","0.8924","0.8910","0.00%"
"Jan 02, 2020","0.8949","0.8919","0.8958","0.8907","0.36%"
"Jan 03, 2020","0.8958","0.8951","0.8989","0.8944","0.10%"
"Jan 06, 2020","0.8929","0.8954","0.8964","0.8923","-0.32%"
"Jan 07, 2020","0.8964","0.8932","0.8982","0.8930","0.39%"
"Jan 08, 2020","0.9003","0.8967","0.9008","0.8953","0.44%"
"Jan 09, 2020","0.9003","0.9005","0.9015","0.8992","0.00%"
"Jan 10, 2020","0.8990","0.9004","0.9021","0.8985","-0.14%"
"Jan 13, 2020","0.8979","0.8989","0.8999","0.8971","-0.12%"
"Jan 14, 2020","0.8984","0.8981","0.9006","0.8972","0.06%"
"Jan 15, 2020","0.8966","0.8985","0.8995","0.8957","-0.20%"
"Jan 16, 2020","0.8977","0.8967","0.8987","0.8950","0.12%"
"Jan 17, 2020","0.9016","0.8979","0.9021","0.8974","0.43%"
"Jan 20, 2020","0.9012","0.9015","0.9028","0.9006","-0.04%"
"Jan 21, 2020","0.9020","0.9013","0.9025","0.8993","0.09%"
"Jan 22, 2020","0.9013","0.9022","0.9034","0.9010","-0.08%"
"Jan 23, 2020","0.9045","0.9015","0.9061","0.9002","0.36%"
"Jan 24, 2020","0.9069","0.9046","0.9075","0.9039","0.27%"
"Jan 27, 2020","0.9074","0.9074","0.9083","0.9058","0.06%"
"Jan 28, 2020","0.9071","0.9075","0.9093","0.9069","-0.03%"
"Jan 29, 2020","0.9080","0.9073","0.9098","0.9068","0.10%"
"Jan 30, 2020","0.9063","0.9082","0.9086","0.9058","-0.19%"
"Jan 31, 2020","0.9013","0.9064","0.9078","0.9011","-0.55%"
"Feb 03, 2020","0.9040","0.9015","0.9061","0.9012","0.30%"
"Feb 04, 2020","0.9054","0.9042","0.9064","0.9038","0.15%"
"Feb 05, 2020","0.9090","0.9054","0.9097","0.9051","0.40%"
"Feb 06, 2020","0.9107","0.9092","0.9121","0.9079","0.19%"
"Feb 07, 2020","0.9135","0.9105","0.9140","0.9103","0.31%"
"Feb 10, 2020","0.9164","0.9132","0.9168","0.9125","0.32%"
"Feb 11, 2020","0.9159","0.9165","0.9183","0.9153","-0.05%"
"Feb 12, 2020","0.9195","0.9161","0.9204","0.9152","0.39%"
"Feb 13, 2020","0.9223","0.9197","0.9230","0.9183","0.30%"
"Feb 14, 2020","0.9230","0.9225","0.9236","0.9207","0.08%"
"Feb 17, 2020","0.9228","0.9232","0.9241","0.9215","-0.02%"
"Feb 18, 2020","0.9265","0.9226","0.9272","0.9226","0.40%"
"Feb 19, 2020","0.9252","0.9266","0.9275","0.9248","-0.14%"
"Feb 20, 2020","0.9271","0.9254","0.9280","0.9241","0.21%"
"Feb 21, 2020","0.9219","0.9272","0.9273","0.9204","-0.56%"
"Feb 24, 2020","0.9211","0.9225","0.9255","0.9197","-0.09%"
"Feb 25, 2020","0.9189","0.9213","0.9234","0.9182","-0.24%"
"Feb 26, 2020","0.9189","0.9190","0.9212","0.9166","0.00%"
"Feb 27, 2020","0.9089","0.9187","0.9193","0.9086","-1.09%"
"Feb 28, 2020","0.9068","0.9090","0.9132","0.9046","-0.23%"
"Mar 02, 2020","0.8980","0.9089","0.9089","0.8939","-0.97%"
"Mar 03, 2020","0.8949","0.8982","0.9013","0.8918","-0.35%"
"Mar 04, 2020","0.8978","0.8951","0.9014","0.8939","0.32%"
"Mar 05, 2020","0.8895","0.8979","0.8993","0.8892","-0.92%"
"Mar 06, 2020","0.8860","0.8896","0.8920","0.8806","-0.39%"
"Mar 09, 2020","0.8733","0.8856","0.8863","0.8701","-1.43%"
"Mar 10, 2020","0.8864","0.8737","0.8870","0.8727","1.50%"
"Mar 11, 2020","0.8872","0.8865","0.8884","0.8797","0.09%"
"Mar 12, 2020","0.8939","0.8874","0.9046","0.8823","0.76%"
"Mar 13, 2020","0.9003","0.8941","0.9046","0.8910","0.72%"
"Mar 16, 2020","0.8941","0.9021","0.9054","0.8899","-0.69%"
"Mar 17, 2020","0.9093","0.8942","0.9129","0.8936","1.70%"
"Mar 18, 2020","0.9160","0.9093","0.9258","0.9054","0.74%"
"Mar 19, 2020","0.9351","0.9161","0.9385","0.9105","2.09%"
