"Date","Price","Open","High","Low","Change %"
"Nov 10, 2016","31.716","31.450","31.827","31.436","0.25%"
"Nov 09, 2016","31.636","31.324","31.703","31.284","1.06%"
"Nov 08, 2016","31.303","31.525","31.535","31.276","-0.56%"
"Nov 07, 2016","31.480","31.463","31.536","31.410","0.02%"
"Nov 04, 2016","31.473","31.469","31.529","31.392","-0.06%"
"Nov 03, 2016","31.492","31.559","31.559","31.395","-0.01%"
"Nov 02, 2016","31.495","31.565","31.636","31.423","-0.21%"
"Nov 01, 2016","31.562","31.529","31.623","31.482","0.13%"
"Oct 31, 2016","31.520","31.612","31.662","31.423","-0.35%"
"Oct 28, 2016","31.632","31.742","31.766","31.558","-0.34%"
"Oct 27, 2016","31.739","31.576","31.756","31.553","0.62%"
"Oct 26, 2016","31.543","31.570","31.641","31.485","0.11%"
"Oct 25, 2016","31.507","31.670","31.748","31.450","-0.56%"
"Oct 24, 2016","31.683","31.816","31.816","31.575","-0.24%"
"Oct 21, 2016","31.760","31.608","31.824","31.524","0.54%"
"Oct 20, 2016","31.588","31.445","31.646","31.385","0.39%"
"Oct 19, 2016","31.466","31.555","31.595","31.360","-0.23%"
"Oct 18, 2016","31.537","31.785","31.820","31.495","-0.79%"
"Oct 17, 2016","31.787","31.715","31.834","31.659","0.25%"
"Oct 14, 2016","31.709","31.712","31.800","31.625","-0.07%"
"Oct 13, 2016","31.730","31.633","31.832","31.595","0.33%"
"Oct 12, 2016","31.626","31.640","31.704","31.533","0.16%"
"Oct 11, 2016","31.575","31.448","31.715","31.400","0.38%"
"Oct 10, 2016","31.456","31.476","31.550","31.389","0.01%"
"Oct 07, 2016","31.453","31.464","31.538","31.348","-0.06%"
"Oct 06, 2016","31.473","31.454","31.564","31.290","0.06%"
"Oct 05, 2016","31.453","31.470","31.498","31.313","-0.07%"
"Oct 04, 2016","31.474","31.322","31.498","31.263","0.44%"
"Oct 03, 2016","31.337","31.320","31.391","31.205","0.04%"
"Sep 30, 2016","31.325","31.433","31.515","31.269","-0.31%"
"Sep 29, 2016","31.421","31.384","31.445","31.190","0.14%"
"Sep 28, 2016","31.377","31.366","31.426","31.279","-0.09%"
"Sep 27, 2016","31.405","31.437","31.485","31.263","-0.12%"
"Sep 26, 2016","31.443","31.356","31.525","31.315","0.37%"
"Sep 23, 2016","31.326","31.415","31.464","31.267","-0.01%"
"Sep 22, 2016","31.330","31.135","31.449","31.125","0.57%"
"Sep 21, 2016","31.153","31.293","31.579","31.125","-0.56%"
"Sep 20, 2016","31.329","31.381","31.461","31.218","-0.30%"
"Sep 19, 2016","31.423","31.699","31.740","31.312","-0.86%"
"Sep 16, 2016","31.695","31.677","31.765","31.525","0.18%"
"Sep 15, 2016","31.638","31.690","31.844","31.609","-0.17%"
"Sep 14, 2016","31.693","31.841","31.841","31.615","-0.49%"
"Sep 13, 2016","31.848","31.690","31.899","31.555","0.61%"
"Sep 12, 2016","31.655","31.605","31.777","31.555","0.04%"
"Sep 09, 2016","31.642","31.301","31.675","31.286","1.03%"
"Sep 08, 2016","31.319","31.255","31.363","31.181","0.24%"
"Sep 07, 2016","31.245","31.167","31.299","31.100","0.30%"
"Sep 06, 2016","31.153","31.391","31.507","31.152","-0.79%"
"Sep 05, 2016","31.401","31.682","31.714","31.302","-0.74%"
"Sep 02, 2016","31.635","31.737","31.773","31.546","-0.24%"
"Sep 01, 2016","31.710","31.761","31.816","31.668","-0.09%"
"Aug 31, 2016","31.737","31.716","31.799","31.654","-0.03%"
"Aug 30, 2016","31.747","31.672","31.781","31.625","0.18%"
