,us,eu,china,korea,taiwan,date
532,35590,69153,98618,136384,117289,2016/9/25
533,36690,69220,99618,144001,119158,2016/9/26
534,36529,69197,104874,137708,115801,2016/9/27
535,37619,69664,108794,131221,120337,2016/9/28
536,38225,69571,109035,137460,122522,2016/9/29
537,36363,68652,111289,124506,119062,2016/9/30
538,35207,67799,117965,138830,118631,2016/10/1
539,36240,69040,121939,133963,118905,2016/10/2
540,37215,67805,125086,160913,116529,2016/10/3
541,36857,68706,128865,154106,116920,2016/10/4
542,36831,68166,129258,137371,122580,2016/10/5
543,36370,68553,123482,138625,120152,2016/10/6
544,36683,68553,125108,137659,120117,2016/10/7
545,35887,67834,123688,142302,119496,2016/10/8
546,36714,69701,124531,139427,119456,2016/10/9
547,38407,69111,125511,130532,119772,2016/10/10
548,38616,69606,126996,138585,118736,2016/10/11
549,37355,69693,126539,140790,117113,2016/10/12
550,37352,71062,126329,132833,119744,2016/10/13
551,37081,70146,126524,137876,120203,2016/10/14
552,36255,70025,126267,144340,118894,2016/10/15
553,37456,70198,127957,142396,119995,2016/10/16
554,38817,71939,127765,138290,118720,2016/10/17
555,37931,72037,130080,136632,123619,2016/10/18
556,38484,71781,130250,140490,118962,2016/10/19
557,39387,74220,129735,148004,123952,2016/10/20
558,38199,75119,132419,147452,123045,2016/10/21
559,38613,74181,132982,140702,121832,2016/10/22
560,39043,77350,135765,147795,127019,2016/10/23
561,41681,79187,141726,145662,122980,2016/10/24
562,40298,86228,147933,145746,126969,2016/10/25
563,42645,80470,,153376,129285,2016/10/26
564,42402,81843,154662,166198,131671,2016/10/27
565,41327,80149,155437,162616,130268,2016/10/28
566,40175,80092,155738,162514,128906,2016/10/29
567,41317,81650,165959,165668,147083,2016/10/30
568,42789,80678,172471,139330,146289,2016/10/31
569,41778,81437,169459,144104,147225,2016/11/1
570,44060,80900,175972,159916,142802,2016/11/2
571,44120,81318,172922,151778,144902,2016/11/3
572,43028,80907,173100,147808,143677,2016/11/4
573,43053,81851,172820,158326,141904,2016/11/5
574,45232,82063,174244,159052,141294,2016/11/6
575,47140,84602,179197,164225,142029,2016/11/7
576,46590,86264,187095,153790,141436,2016/11/8
577,48357,86717,193367,152630,143043,2016/11/9
578,47560,87001,187236,149145,148934,2016/11/10
579,46351,87818,181285,159191,143617,2016/11/11
580,45884,87783,169625,166046,143435,2016/11/12
581,46604,88494,176530,164149,143850,2016/11/13
582,47757,88584,172503,168584,145489,2016/11/14
