Epochs,loss us,accuracy us,loss us,accuracy us,loss eu,accuracy eu,loss eu,accuracy eu,loss china,accuracy china,loss china,accuracy china,loss korea,accuracy korea,loss korea,accuracy korea,loss taiwan,accuracy taiwan,loss taiwan,accuracy taiwan
30,0.692471444606781,0.5310602784156799,0.7363160848617554,0.0714285746216774,0.6791125535964966,0.5740308165550232,0.648992657661438,0.9285714030265808,0.6276065111160278,0.6221392154693604,0.7384895086288452,0.5714285969734192,0.5155296325683594,0.7220925092697144,0.40517884492874146,0.8571428656578064,0.4104032814502716,0.8033629059791565,3.66750168800354,0.2857142984867096
31,0.6920554637908936,0.5287249088287354,0.7690444588661194,0.0714285746216774,0.6797511577606201,0.5670247673988342,0.6678639054298401,0.5714285969734192,0.6246167421340942,0.6314806342124939,0.748735249042511,0.5714285969734192,0.5087788105010986,0.7342363595962524,0.4023492932319641,0.8571428656578064,0.4112741947174072,0.8010275363922119,3.844475030899048,0.2857142984867096
32,0.6917777061462402,0.512844443321228,0.7400098443031311,0.0714285746216774,0.678575873374939,0.5693601369857788,0.6467362642288208,0.9285714030265808,0.6264446377754211,0.6230733394622803,0.7589012980461121,0.5714285969734192,0.5063735842704773,0.7244278192520142,0.3958689272403717,0.8571428656578064,0.40725377202033997,0.8038299679756165,4.080657958984375,0.2857142984867096
33,0.6919116973876953,0.5301260948181152,0.7370253801345825,0.0714285746216774,0.6771418452262878,0.5889770984649658,0.6625690460205078,0.7857142686843872,0.6216129064559937,0.6375525593757629,0.7614609599113464,0.5714285969734192,0.4975666403770447,0.737038791179657,0.39312395453453064,0.8571428656578064,0.4107660949230194,0.7986922264099121,4.08933687210083,0.2857142984867096
34,0.6935747265815735,0.5007005929946899,0.7864939570426941,0.0714285746216774,0.6794626116752625,0.5712283849716187,0.6614764928817749,0.7857142686843872,0.6196030974388123,0.6375525593757629,0.7716980576515198,0.5714285969734192,0.4957529604434967,0.7333021759986877,0.38754940032958984,0.8571428656578064,0.4047238230705261,0.806165337562561,4.258985996246338,0.2857142984867096
35,0.689852774143219,0.5212517380714417,0.704230785369873,0.0714285746216774,0.679099440574646,0.5712283849716187,0.6107053160667419,0.8571428656578064,0.6177175641059875,0.6398879289627075,0.7686286568641663,0.5714285969734192,0.49295857548713684,0.7379729151725769,0.38433006405830383,0.8571428656578064,0.3916550278663635,0.8085007071495056,4.065500736236572,0.2857142984867096
36,0.6982195973396301,0.5053713321685791,0.7891466021537781,0.0714285746216774,0.6787981986999512,0.5787015557289124,0.7188387513160706,0.2857142984867096,0.6163299083709717,0.637085497379303,0.7778288722038269,0.5714285969734192,0.48329922556877136,0.7393741011619568,0.3783628046512604,0.8571428656578064,0.38227003812789917,0.8183091878890991,4.2859673500061035,0.3571428656578064
37,0.6925578117370605,0.5039700865745544,0.7397603988647461,0.0714285746216774,0.67827969789505,0.550210177898407,0.633869469165802,0.8571428656578064,0.6190288066864014,0.6296123266220093,0.80009526014328,0.5714285969734192,0.48566389083862305,0.7575899362564087,0.3743302524089813,0.8571428656578064,0.3769436180591583,0.8136385083198547,4.266182899475098,0.2857142984867096
38,0.6919408440589905,0.5282578468322754,0.7606101036071777,0.0714285746216774,0.6823738813400269,0.5539467334747314,0.6638972163200378,0.7857142686843872,0.6171367168426514,0.6305464506149292,0.8070029020309448,0.5714285969734192,0.4858663082122803,0.7477813959121704,0.3706851601600647,0.7857142686843872,0.3681265413761139,0.8243811130523682,4.642373085021973,0.2857142984867096
39,0.6924588084220886,0.5100420117378235,0.7689067125320435,0.0714285746216774,0.6803301572799683,0.5665577054023743,0.6601961851119995,0.8571428656578064,0.6137235164642334,0.6375525593757629,0.8088430762290955,0.5714285969734192,0.48156481981277466,0.7622606158256531,0.36961063742637634,0.7857142686843872,0.3583237826824188,0.8267164826393127,4.5077900886535645,0.3571428656578064
40,0.6916414499282837,0.5119103193283081,0.7297537922859192,0.0714285746216774,0.6812767386436462,0.550210177898407,0.6645961403846741,0.7857142686843872,0.6055575609207153,0.6366183757781982,0.824355959892273,0.5714285969734192,0.47090432047843933,0.749649703502655,0.36624976992607117,0.7857142686843872,0.35862988233566284,0.8295189142227173,4.820101261138916,0.2857142984867096
41,0.6925706267356873,0.5259224772453308,0.7716721296310425,0.0714285746216774,0.6780959963798523,0.5712283849716187,0.6479408144950867,0.9285714030265808,0.604830265045166,0.6450256705284119,0.8366875052452087,0.5714285969734192,0.46921059489250183,0.7599252462387085,0.3629409372806549,0.7857142686843872,0.35257360339164734,0.8318542838096619,4.791016578674316,0.3571428656578064
42,0.6907978653907776,0.5207846760749817,0.7279745936393738,0.0714285746216774,0.6761357188224792,0.5810369253158569,0.6667968034744263,0.7142857313156128,0.6027388572692871,0.6534329652786255,0.8563843965530396,0.5714285969734192,0.4539870619773865,0.7697337865829468,0.3621661365032196,0.7857142686843872,0.35578614473342896,0.8253152966499329,4.918343544006348,0.2857142984867096
